lon,lat,Vs30_Wills,Z2p5,Z1,ln_Amp760
-118.0934,34.2467,710.1,0.7,0.0,0.0070
-118.0461,34.2245,710.1,1.1,0.0,0.0125
-117.9989,34.2024,710.1,1.3,0.1,-0.0415
-117.9516,34.1802,710.1,1.3,0.1,-0.0824
-117.9044,34.1580,710.1,2.0,0.1,-0.0680
-117.8572,34.1358,351.9,1.3,0.2,0.1691
-117.8100,34.1136,518.9,0.8,0.2,0.1176
-117.7629,34.0913,293.5,0.6,0.2,0.0565
-117.7158,34.0691,293.5,0.8,0.2,0.0594
-117.6687,34.0468,293.5,0.5,0.2,0.0249
-117.6216,34.0245,293.5,0.5,0.2,-0.0398
-117.5745,34.0022,293.5,0.3,0.2,-0.0849
-117.5275,33.9799,386.6,0.3,0.1,-0.2466
-117.4805,33.9575,386.6,0.3,0.1,-0.2284
-117.4335,33.9351,386.6,0.3,0.1,-0.1897
-117.3866,33.9127,386.6,0.3,0.3,0.1666
-117.3396,33.8903,710.1,0.0,0.0,-0.0607
-117.2927,33.8679,710.1,0.0,0.0,-0.0802
-117.2458,33.8455,386.6,0.0,0.0,-0.3149
-117.1990,33.8230,386.6,0.0,0.0,-0.4437
-117.1522,33.8005,386.6,0.0,0.0,-0.3933
-118.9704,34.7030,710.1,0.0,0.0,0.1228
-118.9226,34.6812,710.1,0.0,0.0,0.0831
-118.8748,34.6594,710.1,0.0,0.0,0.0275
-118.8271,34.6376,710.1,0.0,0.0,0.0306
-118.7794,34.6158,710.1,5.0,0.1,0.1252
-118.7317,34.5939,468.4,0.3,0.3,0.5511
-118.6841,34.5721,385.1,0.3,0.3,0.4848
-118.6364,34.5502,385.1,1.6,0.3,0.3540
-118.5413,34.5063,468.4,2.0,0.2,0.3480
-118.4937,34.4844,468.4,2.0,0.1,0.2361
-118.4462,34.4624,468.4,2.0,0.1,0.1611
-118.3987,34.4404,351.9,1.6,0.1,0.1334
-118.3512,34.4184,710.1,0.7,0.1,0.0101
-118.3037,34.3964,710.1,0.3,0.1,0.0352
-118.2563,34.3743,710.1,0.3,0.1,0.0481
-118.2089,34.3523,710.1,0.3,0.1,0.0353
-118.1615,34.3302,710.1,0.3,0.1,0.0196
-118.1141,34.3081,351.9,0.6,0.0,0.0118
-118.0668,34.2860,710.1,0.8,0.0,0.0138
-118.0195,34.2638,710.1,1.1,0.0,-0.0235
-117.9722,34.2416,710.1,1.1,0.0,-0.0992
-117.9249,34.2195,710.1,1.1,0.1,-0.0382
