lon,lat,Vs30-Wills,Z2.5,Z1,ln-Amp760
-117.2927,33.8679,710.1,0.0,0.0,0.00171
-117.2458,33.8455,386.6,0.0,0.0,0.26059
-117.1990,33.8230,386.6,0.0,0.0,0.26059
-117.1522,33.8005,386.6,0.0,0.0,0.26059
-118.9704,34.7030,710.1,0.0,0.0,0.00171
-118.9226,34.6812,710.1,0.0,0.0,0.00171
-118.8748,34.6594,710.1,0.0,0.0,0.00171
-118.8271,34.6376,710.1,0.0,0.0,0.00171
-118.7794,34.6158,710.1,5.0,0.1,0.05846
-118.7317,34.5939,468.4,0.3,0.3,0.58165
-118.6841,34.5721,385.1,0.3,0.3,0.65973
-118.6364,34.5502,385.1,1.6,0.3,0.65973
-118.5413,34.5063,468.4,2.0,0.2,0.46815
-118.4937,34.4844,468.4,2.0,0.1,0.35465
-118.4462,34.4624,468.4,2.0,0.1,0.35465
-118.3987,34.4404,351.9,1.6,0.1,0.48140
-118.3512,34.4184,710.1,0.7,0.1,0.05846
-118.3037,34.3964,710.1,0.3,0.1,0.05846
-118.2563,34.3743,710.1,0.3,0.1,0.05846
-118.2089,34.3523,710.1,0.3,0.1,0.05846
-118.1615,34.3302,710.1,0.3,0.1,0.05846
-118.1141,34.3081,351.9,0.6,0.0,0.31115
-118.0668,34.2860,710.1,0.8,0.0,0.00171
-118.0195,34.2638,710.1,1.1,0.0,0.00171
-117.9722,34.2416,710.1,1.1,0.0,0.00171
-117.9249,34.2195,710.1,1.1,0.1,0.05846
-117.8777,34.1973,710.1,0.8,0.1,0.05846
-117.8305,34.1751,710.1,1.1,0.1,0.05846
-117.7833,34.1528,710.1,0.3,0.1,0.05846
-117.7361,34.1306,386.6,1.1,0.1,0.31734
-117.6890,34.1083,351.9,1.1,0.1,0.48140
-117.6419,34.0860,351.9,0.7,0.3,0.70840
-117.5948,34.0637,293.5,0.4,0.2,0.66185
-117.5477,34.0414,293.5,0.3,0.2,0.66185
-117.5007,34.0190,386.6,0.3,0.1,0.31734
-117.4536,33.9966,710.1,0.3,0.1,0.17196
-117.4067,33.9743,351.9,0.3,0.2,0.53815
-117.3597,33.9519,386.6,0.3,0.1,0.43084
-117.3127,33.9294,710.1,0.0,0.0,0.00171
-117.2658,33.9070,386.6,0.0,0.0,0.26059
-117.2189,33.8846,293.5,0.0,0.0,0.43485
-117.1252,33.8396,293.5,0.0,0.0,0.43485
-118.9440,34.7425,710.1,0.0,0.0,0.00171
